Shipping Intelligence Network Timeseries;;;;;;;;
Created 23 February 2024 11:55;;;;;;;;
;;;;;;;;
Date;No;No;No;No;DWT million;DWT million;DWT million;DWT million
Date;Handysize Bulkcarrier Fleet Development [No];Handymax Bulkcarrier Fleet Development [No];Panamax Bulkcarrier Fleet Development [No];Capesize Bulkcarrier Fleet Development [No];Handysize Bulkcarrier Fleet Development [DWT million];Handymax Bulkcarrier Fleet Development [DWT million];Panamax Bulkcarrier Fleet Development [DWT million];Capesize Bulkcarrier Fleet Development [DWT million]
Jan-1970;1 675;272;95;39;36.79099;13.38242;7.01898;5.63028
Feb-1970;1 777;288;103;44;39.31027;14.18311;7.57109;6.2253
Mar-1970;1 782;288;103;44;39.44789;14.18311;7.57109;6.2253
Apr-1970;1 787;288;103;46;39.55979;14.18311;7.57109;6.4942
May-1970;1 790;288;103;47;39.63352;14.18311;7.57109;6.61613
Jun-1970;1 795;288;103;48;39.77652;14.18311;7.57109;6.73074
Jul-1970;1 801;288;103;48;39.91045;14.18311;7.57109;6.73074
Aug-1970;1 802;288;103;48;39.94165;14.18311;7.57109;6.73074
Sep-1970;1 806;289;103;48;40.02799;14.23975;7.57109;6.73074
Oct-1970;1 812;290;103;49;40.15843;14.29646;7.57109;6.85954
Nov-1970;1 814;290;104;49;40.21886;14.29646;7.63778;6.85954
Dec-1970;1 816;292;104;49;40.29184;14.39744;7.63778;6.85954
Jan-1971;1 804;292;104;50;40.06616;14.38899;7.63778;6.97712
Feb-1971;1 914;302;116;62;42.84579;14.88983;8.48385;8.54186
Mar-1971;1 917;302;116;63;42.92027;14.88983;8.48385;8.65403
Apr-1971;1 920;302;117;63;43.00624;14.88983;8.54559;8.65403
May-1971;1 921;302;117;64;43.04371;14.88983;8.54559;8.80249
Jun-1971;1 928;302;117;65;43.21823;14.88983;8.54559;8.91984
Jul-1971;1 935;303;118;66;43.37268;14.9319;8.63075;9.03562
Aug-1971;1 937;304;118;66;43.45486;14.97398;8.63075;9.03562
Sep-1971;1 941;305;118;67;43.54457;15.01608;8.63075;9.14281
Oct-1971;1 944;306;118;68;43.62586;15.06857;8.63075;9.30944
Nov-1971;1 949;307;118;68;43.76606;15.12608;8.63075;9.30944
Dec-1971;1 951;307;119;68;43.83478;15.12608;8.69102;9.30944
Jan-1972;1 958;307;119;68;44.01551;15.12608;8.69102;9.30944
Feb-1972;1 992;311;126;72;44.90831;15.32993;9.15668;9.86123
Mar-1972;1 995;311;126;74;44.9964;15.32993;9.15668;10.16131
Apr-1972;1 998;311;127;75;45.12217;15.32993;9.2418;10.28875
May-1972;2 009;313;129;75;45.40055;15.43836;9.37483;10.28875
Jun-1972;2 011;315;132;75;45.47618;15.53039;9.58325;10.28875
Jul-1972;2 035;317;133;78;46.1228;15.63461;9.64775;10.63508
Aug-1972;2 047;318;134;78;46.45563;15.68552;9.71607;10.63508
Sep-1972;2 060;318;135;79;46.78444;15.68552;9.77861;10.75515
Oct-1972;2 077;318;135;82;47.28527;15.68552;9.77861;11.0941
Nov-1972;2 095;319;137;82;47.73434;15.7397;9.9227;11.0941
Dec-1972;2 113;321;141;84;48.23475;15.83129;10.22293;11.36275
Jan-1973;2 139;322;141;86;48.97597;15.88626;10.22293;11.60925
Feb-1973;2 156;322;144;89;49.43814;15.88626;10.42713;11.95197
Mar-1973;2 161;322;145;91;49.58788;15.88626;10.49496;12.22281
Apr-1973;2 173;324;146;93;49.97338;15.98431;10.55622;12.51066
May-1973;2 184;326;148;93;50.32335;16.0928;10.6922;12.51066
Jun-1973;2 196;329;151;94;50.6402;16.23966;10.88606;12.63824
Jul-1973;2 205;330;153;98;50.87866;16.29155;11.02875;13.27397
Aug-1973;2 224;330;153;99;51.36456;16.29155;11.02875;13.39015
Sep-1973;2 231;334;155;101;51.59734;16.48856;11.15962;13.66187
Oct-1973;2 247;337;158;103;52.06904;16.63602;11.35359;13.9225
Nov-1973;2 255;339;160;104;52.2998;16.74105;11.4785;14.05204
Dec-1973;2 265;341;165;107;52.63172;16.84555;11.8237;14.44221
Jan-1974;2 276;343;168;110;53.01799;16.94187;12.04249;14.80562
Feb-1974;2 283;346;169;111;53.23306;17.08359;12.10758;14.93688
Mar-1974;2 292;347;173;111;53.49952;17.13454;12.38071;14.93688
Apr-1974;2 302;348;176;112;53.74721;17.18657;12.575;15.0668
May-1974;2 312;351;176;113;54.02494;17.33374;12.575;15.17495
Jun-1974;2 318;353;178;114;54.19076;17.43473;12.7162;15.30446
Jul-1974;2 335;357;180;114;54.57582;17.6261;12.85527;15.30446
Aug-1974;2 354;361;183;116;55.06699;17.82833;13.04602;15.55206
Sep-1974;2 365;361;183;116;55.35055;17.82833;13.04602;15.55206
Oct-1974;2 374;363;185;116;55.63413;17.93108;13.1752;15.55206
Nov-1974;2 394;369;187;117;56.14958;18.23454;13.31196;15.68781
Dec-1974;2 407;373;191;117;56.49826;18.43513;13.58628;15.68781
Jan-1975;2 419;376;193;118;56.80661;18.57773;13.74838;15.80731
Feb-1975;2 434;377;195;119;57.12446;18.61878;13.90031;15.93029
Mar-1975;2 445;378;197;119;57.42758;18.65878;14.03846;15.93029
Apr-1975;2 458;380;200;120;57.70558;18.75367;14.22934;16.04836
May-1975;2 468;380;203;120;57.96381;18.75367;14.44169;16.04836
Jun-1975;2 473;385;204;123;58.07531;18.98777;14.50618;16.41146
Jul-1975;2 488;391;204;124;58.35185;19.29647;14.50618;16.52775
Aug-1975;2 501;392;206;125;58.69134;19.35074;14.6472;16.63819
Sep-1975;2 514;394;206;126;59.002;19.45618;14.6472;16.75308
Oct-1975;2 522;394;211;126;59.18217;19.45618;14.9906;16.75308
Nov-1975;2 535;399;213;127;59.49245;19.68985;15.1304;16.87601
Dec-1975;2 543;403;215;129;59.64675;19.90461;15.25862;17.14094
Jan-1976;2 567;404;220;132;60.2352;19.95709;15.62091;17.50143
